Institutes,Country,Name,Platform,Phase,In use,Date started,Reference,Listed by WHO,Listed by Milken,Other
Aegis Biodefense,USA,DNA vaccine,DNA,Pre-clinical,No,09/06/2020,Direct contact from company,no,no,NA
BioNet Asia,Thailand,COVIGEN,DNA,Phase I,No,26/03/2020,https://www.who.int/blueprint/priority-diseases/key-action/Novel_Coronavirus_Landscape_nCoV_Mar26.PDF,yes,yes,NA
Biosun Pharmed,Iran,DNA plasmid vaccine,DNA,Pre-clinical,No,12/11/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,no,NA
Chula Vaccine Research Center,Thailand,DNA vaccine,DNA,Pre-clinical,No,31/07/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,DNA with electroporation
Ege University,Turkey,DNA vaccine,DNA,Pre-clinical,No,01/07/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
Entos Pharmaceuticals,Canada,Covigenix VAX-001,DNA,Phase I/II,No,19/03/2020,https://www.pharmaceutical-business-review.com/news/entos-pharmaceuticals-fusogenix-covid-19/,yes,yes,NA
GeneOne Life Science,Republic of Korea/USA,GLS-5310,DNA,Phase I/II,No,27/08/2020,http://www.genels.com/en/sub/technology/vaccine.asp,no,no,NA
Genexine Consortium,Republic of Korea,GX-19,DNA,Phase I/II,No,16/03/2020,http://www.koreabiomed.com/news/articleView.html?idxno=7727,yes,yes,NA
Globe Biotech Ltd (DNA),Bangladesh,DNA plasmid vaccine,DNA,Pre-clinical,No,29/10/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
Immunomic Therapeutics Inc/Epivax Inc/PharmaJet,USA,DNA vaccine,DNA,Pre-clinical,No,09/04/2020,https://www.immunomix.com/immunomic-therapeutics-forms-collaboration-with-epivax-and-pharmajet-to-develop-novel-vaccine-candidate-against-covid-19-using-its-investigational-unite-platform/,yes,yes,"Plasmid DNA, needle-free delivery"
Inovio Pharmaceuticals/International Vaccine Institute,USA/Republic of Korea,INO-4800,DNA,Phase II/III,No,12/03/2020,https://www.prnewswire.com/news-releases/inovio-receives-new-5-million-grant-to-accelerate-scale-up-of-smart-delivery-device-for-its-covid-19-vaccine-301022049.html,yes,yes,DNA plasmid vaccine electroporation device
Inserm,France,DNA vaccine,DNA,Pre-clinical,No,15/06/2020,https://presse.inserm.fr/en/covid-19-vaccine-research-at-inserm/39831/,yes,no,DNA immunostimulatory sequences
Karolinska Intitute/Cobra Biologics,Sweden,DNA vaccine,DNA,Pre-clinical,No,26/03/2020,https://www.who.int/blueprint/priority-diseases/key-action/Novel_Coronavirus_Landscape_nCoV_11April2020.PDF?ua=1,yes,yes,DNA with electroporation
Mediphage Bioceuticals/University of Waterloo,Canada,msDNA vaccine,DNA,Pre-clinical,No,16/04/2020,https://uwaterloo.ca/stories/news/university-waterloo-developing-dna-based-covid-19-vaccine,yes,yes,"Nasal spray, bacteriophage delivery, VLP-encoded DNA vaccine"
"National Institute of Chemistry, Slovenia",Slovenia,DNA plasmid vaccine,DNA,Pre-clinical,No,29/10/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,"Plasmid DNA, nanostructured RBD"
"National Research Centre, Egypt (DNA)",Egypt,DNA plasmid vaccine,DNA,Pre-clinical,No,28/06/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,"S,S1,S2,RBD &N "
OncoSec Medical Inc/Providence Cancer Institute,USA,CORVax12,DNA,Phase I,No,06/04/2020,https://ir.oncosec.com/press-releases/detail/2042/oncosec-collaborates-with-providence-cancer-institute-to,no,yes,Electroporated S plasmid DNA vaccine with or without electroporated IL-12p70 plasmid
Osaka University/AnGes/Takara Bio,Japan,AG0302-COVID19,DNA,Phase II/III,No,05/03/2020,https://www.anges.co.jp/en/pdf.php?pdf=003Mk7IxCg7spYu6nteDj80QPMCznRi2.pdf,yes,yes,NA
Scancell/University of Nottingham/Nottingham Trent University,UK,DNA vaccine,DNA,Pre-clinical,No,24/04/2020,https://www.scancell.co.uk/Data/Sites/1/media/publications/news/covid-19-vaccine-programme.pdf,yes,yes,Target N and S proteins
Statens Serum Institute,Denmark,CoVAXIX,DNA,Pre-clinical,No,14/07/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,no,yes,NA
Symvivo,Canada,bacTRL-Spike,DNA,Phase I,No,06/04/2020,https://www.symvivo.com/covid-19,yes,yes,"Orally administered, genetically modified probiotic bacteria"
Takis/Applied DNA Sciences/Evvivax/Rottapharm Biotech,Italy/USA,COVID-eVax,DNA,Phase I/II,No,27/01/2020,http://www.takisbiotech.it/index.php/en/news/200-takis-and-evvivax-developing-a-2019-ncov-coronavirus-vaccine,yes,yes,NA
University of Cambridge/DIOSynVax,UK,DIOS-CoVax2,DNA,Pre-clinical,No,17/01/2020,https://www.cam.ac.uk/research/news/cambridge-research-team-working-towards-vaccine-against-covid-19,no,yes,NA
UW-Madison/Pan Genomes Systems,USA,DNA vaccine,DNA,Pre-clinical,No,15/02/2020,https://www.trialsitenews.com/uw-madison-spinoff-purses-covid-19-vaccine-introducing-pan-genome-systems/,no,no,Nasal spray; nucleic acid based
Vaccibody,Norway,VB10.COV2,DNA,Pre-clinical,No,01/04/2020,https://www.vaccibody.com/wp-content/uploads/2020/12/201210_PR_Vaccibody-Infectious-disease-strategy-and-CoV2-preclinical-data-FINAL.pdf,yes,no,DNA plasmid vaccine encoding RBD
Zydus Cadila Healthcare Limited (DNA),India,ZyCoV-D,DNA,Phase I/II,No,20/03/2020,https://www.who.int/blueprint/priority-diseases/key-action/novel-coronavirus-landscape-ncov.pdf?ua=1,yes,yes,NA
Beijing Institute of Biological Products/Sinopharm,China,BBIBP-CorV,Inactivated,Phase IV,Yes,26/03/2020,https://www.who.int/blueprint/priority-diseases/key-action/Novel_Coronavirus_Landscape_nCoV_Mar26.PDF,yes,yes,NA
Bharat Biotech/ICMR/National Institute of Virology,India,Covaxin,Inactivated,Phase III,Yes,30/06/2020,https://timesofindia.indiatimes.com/city/hyderabad/indias-first-covid-19-vaccine-candidate-by-hyd-co-set-for-trials/articleshow/76699925.cms,yes,yes,NA
"Chumakov Center,/Russian Academy of Sciences",Russia,CoviVac,Inactivated,Pre-clinical,Yes,14/10/2020,https://tass.com/society/1212183,no,no,Inactivated whole-virion vaccine
Dynavax/PATH/GPO/Instituto Butantan/IVAC,USA/Thailand/Brazil/Vietnam,NDV-HXP-S,Inactivated,Phase I/II,No,12/11/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Whole chimeric NDV expressing membrane-anchored pre-fusion-stabilized trimeric SARS-CoV-2 S protein (Hexapro) + CpG 1018
Erciyes University (inactivated),Turkey,ERUCOV-VAC,Inactivated,Phase I,No,24/07/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
"Institute of Medical Biology,/Chinese Academy of Medical Sciences",China,Inactivated vaccine,Inactivated,Phase III,No,17/04/2020,https://www.biocentury.com/article/304515,yes,yes,NA
KM Biologics,Japan,Inactivated vaccine,Inactivated,Pre-clinical,No,01/07/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Inactivated + alum
Kocak Farma Ilac Ve Kimya San. A.S.,Turkey,Inactivated vaccine,Inactivated,Pre-clinical,No,29/10/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,no,NA
Milad Pharmaceuticals Co.,Uncertain,Inactivated vaccine,Inactivated,Pre-clinical,No,12/11/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,no,NA
"National Research Centre, Egypt (inactivated)",Egypt,Inactivated vaccine,Inactivated,Pre-clinical,No,29/06/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Inactivated whole virus 
Osaka University/BIKEN/NIBIOHN (inactivated),Japan,Inactivated vaccine,Inactivated,Pre-clinical,No,19/03/2020,https://pj.jiho.jp/article/241725,yes,yes,NA
Research Institute for/Biological Safety Problems (inactivated),Republic of Kazakhstan,QazCovid-in,Inactivated,Phase III,No,15/05/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
Selcuk University (inactivated),Turkey,Inactivated vaccine,Inactivated,Pre-clinical,No,01/07/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
Shenzhen Kangtai Biological Products Co Ltd,China,Inactivated vaccine,Inactivated,Phase II,No,27/05/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
Shifa Pharmed,Iran,Inactivated vaccine,Inactivated,Phase I,No,12/11/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,no,NA
Sinovac,China/Brazil,CoronaVac,Inactivated,Phase IV,Yes,20/03/2020,https://www.who.int/blueprint/priority-diseases/key-action/novel-coronavirus-landscape-ncov.pdf?ua=1,yes,yes,Formaldehyde-inactivated + alum
Sinovac/Dynavax,China/USA,Inactivated vaccine,Inactivated,Pre-clinical,No,16/04/2020,https://www.globenewswire.com/news-release/2020/04/16/2017222/0/en/Dynavax-and-Sinovac-Announce-Collaboration-to-Develop-a-Coronavirus-COVID-19-Vaccine.html,yes,yes,Sinovac’s inactivated vaccine plus Dynavax adjuvant CpG 1018 adjuvant
Valneva/Dynavax,Austria/USA,VLA2001,Inactivated,Phase I/II,No,22/04/2020,https://valneva.com/press-release/valneva-and-dynavax-announce-collaboration-to-advance-vaccine-development-for-covid-19/,yes,yes,NA
Wuhan Institute of Biological Products/Sinopharm,China,WIBP vaccine,Inactivated,Phase III,Yes,26/03/2020,https://www.who.int/blueprint/priority-diseases/key-action/Novel_Coronavirus_Landscape_nCoV_Mar26.PDF,yes,yes,NA
Zista Kian Azma Co.,Uncertain,Inactivated vaccine,Inactivated,Pre-clinical,No,12/11/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,no,NA
Codagenix/Serum Institute of India,USA/India,COVI-VAC,Live-attenuated,Phase I,No,13/02/2020,https://www.prnewswire.com/news-releases/codagenix-and-serum-institute-of-india-initiate-co-development-of-a-scalable-live-attenuated-vaccine-against-the-2019-novel-coronavirus-covid-19-301004654.html?tc=eml_cleartime,yes,yes,Codon deoptimized live attenuated vaccines
Indian Immunologicals Ltd/Griffith University,India/USA,Live-attenuated vaccine,Live-attenuated,Pre-clinical,No,23/04/2020,https://news.griffith.edu.au/2020/04/23/griffith-university-researchers-on-the-road-to-covid-19-vaccine/,yes,yes,Codon deoptimized live attenuated virus
Mehmet Ali Aydinlar University/Abicadem Labmed Health Services,Turkey,Live-attenuated vaccine,Live-attenuated,Pre-clinical,No,01/07/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Codon deoptimized live attenuated vaccines
Meissa Vaccines,USA ,MV-014-210,Live-attenuated,Pre-clinical,No,30/06/2020,https://www.businesswire.com/news/home/20200630005072/en/Meissa-Vaccines-Pipeline-Update-Vaccine-Candidates-COVID-19,no,yes,NA
Aivita Biomedical Inc,USA,AV-COVID-19,Other,Phase I,No,13/05/2020,https://clinicaltrials.gov/ct2/show/NCT04386252,no,no,NA
AlyraBio/TheRex,France,Replicating bacterial vector vaccine,Other,Pre-clinical,No,16/12/2020,https://www.who.int/publications/m/item/draft-landscape-of-covid-19-candidate-vaccines,yes,no,NA
Cell Tech Pharmed (other),Iran,Cell-based vaccine,Other,Pre-clinical,No,26/02/2021,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,no,Engineered mesenchymal stem cells transfected with plasmid expressing S and N
COVID-19 Vaccine Corporation Ltd,New Zealand,Biodegradable polymer biobead display vaccine,Other,Pre-clinical,No,01/05/2020,https://cvc.nz,no,no,2 antigens: RBD and multiple T cell epitopes
ERC Worldwide,Belgium,ERC SARS-Cov-2 vaccine,Other,Pre-clinical,No,09/04/2020,https://finance.yahoo.com/news/erc-launches-development-program-novel-120010871.html,no,no,Consists of virions at different stages of viral replication and human cells/fragments
Farmacológicos Veterinarios SAC/Universidad Peruana Cayetano Heredia/(bacterial vector),Peru,Replicating bacterial vector vaccine,Other,Pre-clinical,No,28/08/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Oral Salmonella enteritidis (3934Vac) based protein expression system of RBD
Institut Pasteur Lille/Inserm,France,Replicating bacterial vector vaccine,Other,Pre-clinical,No,15/06/2020,https://presse.inserm.fr/en/covid-19-vaccine-research-at-inserm/39831/,yes,no,Pertussis vector exprossing SARS-CoV-2 antigens
OSE immunotherapeutics,France,CoVepiT,Other,Pre-clinical,No,02/10/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,no,"CD8 T cell peptide targeting(S, M, N) and (NSPs) SARS-CoV-2 proteins"
Shenzhen Geno-Immune Medical Institute/(modified APC),China,aAPC vaccine,Other,Phase I,No,31/01/2020,https://www.nature.com/articles/d41573-020-00073-5,no,yes,Artificial APCs modified with lentiviral vector expressing synthetic minigene based on domains of selected viral proteins
Shenzhen Geno-Immune Medical Institute/(modified DC),China,LV-SMENP-DC vaccine,Other,Phase I/II,No,31/01/2020,https://www.nature.com/articles/d41573-020-00073-5,no,yes,DCs modified with lentiviral vector expressing synthetic minigene based on domains of selected viral proteins; administered with antigen-specific CTLs
Ufovax,USA,1c-SApNP VLP vaccine,Other,Pre-clinical,No,12/04/2020,https://statnano.com/news/67566/Ufovax-Formulates-COVID-19-Vaccine-Using-its-Nanoparticle-Vaccine-Technology,no,no,NA
"University of California, Los Angeles",USA,Replicating bacterial vector vaccine,Other,Pre-clinical,No,01/05/2020,http://ucla.technologypublisher.com/techcase/20-0322,no,yes,Recombinant LVS ΔcapB – vectored vaccine expressing multiple SARS-CoV-2 antigens.
Versatope/Umass (OMV),USA,rOMV vaccine,Other,Pre-clinical,No,30/03/2020,https://www.uml.edu/News/stories/2020/M2D2-coronavirus-efforts.aspx?mc_cid=b01e8bd49c&mc_eid=565cb5181a,no,no,Recombinant outer membrane vesicles displaying spike protein
Voltron Therapeutics/Hoth Therapeutics/Massachusetts General Hospital,USA,HaloVax,Other,Pre-clinical,No,27/03/2020,https://www.biospace.com/article/releases/halovax-announces-agreement-with-hoth-therapeutics-to-joint-develop-a-self-assembling-vaccine-sav-to-protect-patients-at-risk-of-coronavirus-covid-19-infection/,no,yes,VaxCelerate platform
AdaptVac,Denmark,Capsid-like particle vaccine,Protein subunit,Pre-clinical,No,09/03/2020,https://www.medizin.uni-tuebingen.de/files/view/W0nPpDMa6lLgzbJo9VGLXAbO/200309%20Press%20release%20Covid-19%20consortium_final.pdf,yes,yes,Capsid-like particle
Adimmune Corporation,Taiwan,AdimrSC-2f,Protein subunit,Phase I,No,09/03/2020,https://www.taiwannews.com.tw/en/news/3894294,no,no,RBD produced by baculovirus-insect cell expression system; administered with/without aluminum content as adjuvant
AJ Vaccines,Denmark,Protein subunit vaccine,Protein subunit,Pre-clinical,No,06/03/2020,https://ajvaccines.com/news/,yes,yes,S protein
Akdeniz University,Turkey,Protein subunit vaccine,Protein subunit,Pre-clinical,No,19/02/2021,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,no,"Recombinant protein S1, S2, and N subunits using plant expression vector"
Akers Biosciences/Premas Biotech ,USA,Protein subunit vaccine,Protein subunit,Pre-clinical,No,08/04/2020,https://www.biospace.com/article/releases/akers-biosciences-and-premas-biotech-announce-successful-expression-of-coronavirus-antigens/,no,no,"Spike (S), Envelope (E) and Membrane (M) proteins"
Akston Biosciences/University Medical Center Groningen,USA/Netherlands,AKS-452,Protein subunit,Phase I/II,No,01/09/2020,http://www.globenewswire.com/news-release/2020/09/01/2087205/0/en/TRACER-to-support-Akston-Biosciences-Phase-1-clinical-study-of-AKS-452-an-innovative-anti-COVID-19-vaccine.html,no,no,SARS-CoV-2-RBD-Fc fusion protein
Anhui Zhifei Longcom Biopharmaceutical/Chinese Academy of Sciences,China,ZF2001,Protein subunit,Phase III,No,02/03/2020,http://hefeihightech.chinadaily.com.cn/2020-03/02/c_459323.htm,yes,yes,Adjuvanted recombinant protein (RBD-Dimer)
AnyGo Technology,China,Protein subunit vaccine,Protein subunit,Pre-clinical,No,05/05/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,"Protein subunit, recombinant S1-Fc fusion protein"
Applied Biotechnology Institute Inc,USA,Protein subunit vaccine,Protein subunit,Pre-clinical,No,05/05/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,"Orally delivered, heat stable subunit"
Arizona State University (subunit),USA,NYVAC-KC,Protein subunit,Pre-clinical,No,19/02/2021,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,no,Attenuated vaccinia virus vector expressing S and other viral proteins
Ataturk University/Health Institutes of Turkey (TUSEB),Turkey,Protein subunit vaccine,Protein subunit,Pre-clinical,No,19/02/2021,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,no,Recombinant protein vaccine
Axon Neuroscience SE,Slovakia,Peptide vaccine,Protein subunit,Pre-clinical,No,09/04/2020,https://www.biospace.com/article/releases/axon-neuroscience-has-a-promising-peptide-vaccine-against-covid-19-in-development/,yes,yes,NA
Baiya Phytopharm/Chula Vaccine Research Center,Thailand,Plant-based vaccine,Protein subunit,Pre-clinical,No,01/06/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Plant-based subunit; RBD-Fc + Adjuvant
Baylor College of Medicine,USA,Protein subunit vaccine,Protein subunit,Pre-clinical,No,20/03/2020,https://www.who.int/blueprint/priority-diseases/key-action/novel-coronavirus-landscape-ncov.pdf?ua=1,yes,yes,S1 or RBD protein
BioFarma/Eijkman Institute for Molecular Biology,Indonesia,Merah Putih,Protein subunit,Pre-clinical,No,14/08/2020,https://en.antaranews.com/news/154250/bio-farma-projected-covid-19-vaccine-merah-putih-roll-out-by-2022,no,no,Recombinant forms of the S sub-units and N protein
Biological E Ltd,India,BECOV,Protein subunit,Phase I/II,No,11/04/2020,https://www.who.int/blueprint/priority-diseases/key-action/Novel_Coronavirus_Landscape_nCoV_11April2020.PDF?ua=1,yes,yes,Adjuvanted protein subunit (RBD)
BiOMVis Srl/University of Trento,Italy,OMV-based vaccine,Protein subunit,Pre-clinical,No,15/05/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,OMV-based vaccine
Bogazici University,Turkey,Protein subunit vaccine,Protein subunit,Pre-clinical,No,01/07/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Peptide + novel adjuvant
CEA/CNRS,France,Protein subunit vaccine,Protein subunit,Pre-clinical,No,16/12/2020,https://www.who.int/publications/m/item/draft-landscape-of-covid-19-candidate-vaccines,yes,no,Protein subunit adnoviral carrier
Center for Advanced Technologies,Uzbekistan,Protein subunit vaccine,Protein subunit,Pre-clinical,No,01/02/2021,https://www.who.int/publications/m/item/draft-landscape-of-covid-19-candidate-vaccines,yes,no,Soluble recombinant S protein produced in CHO cells
Center for Genetic Engineering/and Biotechnology (peptide #1),Cuba,CIGB-66,Protein subunit,Phase I/II,No,01/12/2020,https://www.who.int/publications/m/item/draft-landscape-of-covid-19-candidate-vaccines,yes,no,"RBD + aluminium hydroxide; intramuscular prime, intranasal boost"
Center for Genetic Engineering/and Biotechnology (peptide #2),Cuba,CIGB-669,Protein subunit,Phase I/II,No,01/12/2020,https://www.who.int/publications/m/item/draft-landscape-of-covid-19-candidate-vaccines,yes,no,"RBD + AgnHB; intramuscular prime, intranasal boost"
Chulalongkorn University/GPO,Thailand,Protein subunit vaccine,Protein subunit,Pre-clinical,No,01/06/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,RBD protein fused with Fc of IgG + Adjuvant
Clover Biopharmaceuticals Inc/GSK/Dynavax,China/UK/USA,SCB-2019,Protein subunit,Phase II/III,No,24/02/2020,https://www.businesswire.com/news/home/20200224005319/en,yes,yes,Native-like trimeric subunit spike protein vaccine
Covaxx/United Biomedical Inc,USA,UB-612,Protein subunit,Phase II/III,No,15/07/2020,https://www.covaxx.com/press-release-jul15-1,no,yes,Multitope peptide-based Vaccine 
EpiVax,USA,EPV-CoV-19,Protein subunit,Pre-clinical,No,27/05/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
EpiVax/University of Georgia,USA,Protein subunit vaccine,Protein subunit,Pre-clinical,No,04/03/2020,https://epivax.com/news/press-release-epivax-accelerates-covid-19-vaccine-development-with-ugas-center-for-vaccines-and-immunology,yes,yes,S protein
EuBiologics Co Ltd,Republic of Korea,EuCorVac-19,Protein subunit,Phase I/II,No,25/02/2021,http://www.eubiologics.com/eng/sub4_2_view.php?idx=14&page_number=1&mode=&search_gubun=all&search_keyword=,yes,no,Spike protein using recombinant protein technology with adjuvant
ExpreS2ion,Denmark,Protein subunit vaccine,Protein subunit,Pre-clinical,No,06/03/2020,"https://news.cision.com/expres2ion-biotechnologies/r/expres2ion-announces-eu-grant-award-for-the-covid-19-vaccine-development-programme,c3054055",yes,yes,Drosophila S2 insect cell expression system and AdaptVac capsid VLPs
Farmacológicos Veterinarios SAC/Universidad Peruana Cayetano Heredia/(subunit),Peru,Protein subunit vaccine,Protein subunit,Pre-clinical,No,28/08/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,RBD protein (baculovirus production) + FAR-Squalene adjuvant
Flow Pharma Inc,USA,Protein subunit vaccine,Protein subunit,Pre-clinical,No,26/03/2020,https://www.who.int/blueprint/priority-diseases/key-action/Novel_Coronavirus_Landscape_nCoV_Mar26.PDF,yes,yes,NA
G+Flas Life Sciences,Republic of Korea,Plant-based vaccine,Protein subunit,Pre-clinical,No,01/04/2020,http://www.biospectator.com/view/news_view.php?varAtcId=9750,no,no,NA
Generex/EpiVax,USA/Canada,Ii-Key peptide vaccine,Protein subunit,Pre-clinical,No,27/02/2020,https://www.globenewswire.com/news-release/2020/02/27/1992098/0/en/Generex-Provides-Coronavirus-Update-Generex-Receives-Contract-from-Chinese-Partners-to-Develop-a-COVID-19-Vaccine-Using-Ii-Key-Peptide-Vaccines.html,yes,yes,NA
Hacettepe University,Turkey,Protein subunit vaccine,Protein subunit,Pre-clinical,No,19/02/2021,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,no,Peptides with alum
Heat Biologics/University Of Miami,USA,gp-96 vaccine,Protein subunit,Pre-clinical,No,05/03/2020,https://www.heatbio.com/news-media/news-releases/detail/649/heat-biologics-announces-research-collaboration-with,yes,yes,NA
Helix Biogen Consult/Ogbomoso & Trinity Immonoefficient/Laboratory,Nigeria ,Protein subunit vaccine,Protein subunit,Pre-clinical,No,01/06/2020,https://www.pulse.ng/news/local/covid-19-nigerian-scientists-working-on-preventive-vaccines-call-for-assistance/x256s7z,yes,yes,NA
iBio/CC-Pharming,USA/China,Protein subunit vaccine,Protein subunit,Pre-clinical,No,03/02/2020,https://www.globenewswire.com/news-release/2020/02/03/1979068/0/en/iBio-and-CC-Pharming-Initiate-Joint-Development-of-Coronavirus-Vaccine.html,yes,yes,"Subunit protein, plant produced"
ImmunoPrecise/LiteVax BV,Canada,Protein subunit vaccine,Protein subunit,Pre-clinical,No,20/02/2020,https://pipelinereview.com/index.php/2020022173854/Antibodies/ImmunoPrecise-Launches-Coronavirus-Vaccine-and-Therapeutic-Antibody-Program.html,yes,yes,NA
