Institutes,Country,Name,Platform,Phase,In use,Date started,Reference,Listed by WHO,Listed by Milken,Other
IMV Inc,USA,DPX-COVID-19,Protein subunit,Pre-clinical,No,30/03/2020,https://ir.imv-inc.com/press-releases/detail/638/imv-inc-provides-updates-on-the-development-of,yes,yes,Peptide antigens formulated in lipid nanoparticle formulation
InnoMedica,Switzerland,TaliCoVax19,Protein subunit,Pre-clinical,No,19/04/2020,https://www.innomedica.com/en/2020/03/30/march-2020-innomedica-launches-project-for-corona-vaccination/,no,yes,RBD protein expressed from bacteria + liposome carrier system
Innovax/Xiamen University/GSK,China/UK,COVID-19 XWG-03,Protein subunit,Pre-clinical,No,03/04/2020,https://www.fiercebiotech.com/biotech/gsk-allies-innovax-for-covid-19-vaccine-r-d-project,yes,yes,Truncated S (spike) proteins
Instituto Finlay de Vacunas (peptide #1),Cuba,FINLAY-FR-1/Soberana 1,Protein subunit,Phase I/II,No,01/08/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,no,no,RBD + adjuvant
Instituto Finlay de Vacunas (peptide #2),Cuba,FINLAY-FR-2/Soberana 2,Protein subunit,Phase II,No,01/11/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,rRBD produced in CHO-cell chemically conjugate to tetanus toxoid
Intravacc/Epivax (peptide),Netherlands/USA,OMV-peptide vaccine,Protein subunit,Pre-clinical,No,14/05/2020,https://www.intravacc.nl/,yes,yes,NA
Intravacc/Epivax (subunit),Netherlands/USA,OMV-subunit vaccine,Protein subunit,Pre-clinical,No,14/05/2020,https://www.intravacc.nl/,yes,yes,NA
Izmir Biomedicine and Genome Center,Turkey,Protein subunit vaccine,Protein subunit,Pre-clinical,No,01/07/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
Kazakh National Agrarian University,Republic of Kazakhstan,Protein subunit vaccine,Protein subunit,Pre-clinical,No,29/10/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,no,NA
Kentucky Bioprocessing Inc,USA,KBP-COVID-19,Protein subunit,Phase I/II,No,02/04/2020,https://www.kentucky.com/news/coronavirus/article241709386.html,yes,yes,Biotech subsidiary of British American Tobacco
LakePharma Inc,USA,"Protein subunit, nanoparticle vaccine",Protein subunit,Pre-clinical,No,05/05/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Nanoparticle vaccine
Liaoning Chengda Biotechnology/Tsinghua University,China,Peptide vaccine,Protein subunit,Pre-clinical,No,17/04/2020,https://www.bioworld.com/COVID19products,no,no,NA
LinkinVax/Vaccine Research Institute/Inserm,France,Protein subunit vaccine,Protein subunit,Pre-clinical,No,15/06/2020,https://presse.inserm.fr/en/covid-19-vaccine-research-at-inserm/39831/,yes,no,Protein DC-targeted epitopes
Lomonosov Moscow State University ,Russia,Protein subunit vaccine,Protein subunit,Pre-clinical,No,01/05/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Structurally modified spherical particles of the tobacco mosaic virus (TMV) 
Marmara University,Turkey,Protein subunit vaccine,Protein subunit,Pre-clinical,No,19/02/2021,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,no,Recombinant S encoded by baculoviruses in insect cells
Max Planck Institute of/Colloids and Interfaces (subunit),Germany,Protein subunit vaccine,Protein subunit,Pre-clinical,No,13/05/2020,https://www.mpg.de/14807464/0511-mpin-116799-corona-vaccination-via-the-skin,no,yes,S protein plus targeting ligand for Langerhans cells
Medigen Vaccine Biologics Corporation/NAID/Dynavax,Taiwan/USA,MVC-COV1901,Protein subunit,Phase II,No,17/02/2020,https://www.pharmashots.com/press-releases/taiwan-firm-teams-up-with-us-to-develop-covid-19-vaccine/,yes,yes,S-2 P protein + CpG 1018
MIGAL Galilee Research Institute,Israel,Protein subunit vaccine,Protein subunit,Pre-clinical,No,27/02/2020,http://www.migal.org.il/Migal.covid,yes,yes,Oral E. coli-based protein expression system of S and N proteins
MOGAM Institute for Biomedical Research/GC Pharma,Republic of Korea,Protein subunit vaccine,Protein subunit,Pre-clinical,No,19/03/2020,http://www.businesskorea.co.kr/news/articleView.html?idxno=42991,yes,yes,Synthetic antigen-based ubunit vaccine
Mynvax,India,Protein subunit vaccine,Protein subunit,Pre-clinical,No,15/07/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
Nanogen Biopharmaceutical,Vietnam,Nanocovax,Protein subunit,Phase I/II,No,01/12/2020,https://www.who.int/publications/m/item/draft-landscape-of-covid-19-candidate-vaccines,yes,no,"Recombinant S protein, aluminum adjuvanted"
National Institute of Infectious Disease/Shionogi/UMN Pharma,Japan,Protein subunit vaccine,Protein subunit,Pre-clinical,No,11/04/2020,https://www.who.int/blueprint/priority-diseases/key-action/Novel_Coronavirus_Landscape_nCoV_11April2020.PDF?ua=1,yes,yes,S protein + adjuvant
"National Research Centre, Egypt (subunit)",Egypt,Protein subunit vaccine,Protein subunit,Pre-clinical,No,01/07/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,"Protein Subunit S,N,M&S1 protein "
Neo7Logix,USA,Protein subunit vaccine,Protein subunit,Pre-clinical,No,12/11/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
Neovii/Tel Aviv University,Israel,RBD-based vaccine,Protein subunit,Pre-clinical,No,13/05/2020,https://neovii.com/neovii-partners-with-tel-aviv-university-to-develop-novel-covid-19-vaccine/,yes,yes,RBD-based 
Novavax,USA,NVX-CoV2373,Protein subunit,Phase III,No,10/03/2020,https://ir.novavax.com/news-releases/news-release-details/novavax-awarded-funding-cepi-covid-19-vaccine-development,yes,yes,VLP-recombinant protein nanoparticle vaccine + Matrix M
Ohio State University/Kazakh National Agrarian University,USA/Republic of Kazakhstan,Protein subunit vaccine,Protein subunit,Pre-clinical,No,25/07/2020,https://www.who.int/publications/m/item/draft-landscape-of-covid-19-candidate-vaccines,yes,no,RBD protein delivered in mannose- conjugated chitosan nanoparticle
OncoGen,Romania,Protein subunit vaccine,Protein subunit,Pre-clinical,No,26/03/2020,https://www.who.int/blueprint/priority-diseases/key-action/Novel_Coronavirus_Landscape_nCoV_Mar26.PDF,yes,yes,Synthetic long peptide vaccine candidate for S and M proteins
Osaka University/BIKEN/NIBIOHN (subunit),Japan,VLP-recombinant protein vaccine,Protein subunit,Pre-clinical,No,11/04/2020,https://www.who.int/blueprint/priority-diseases/key-action/Novel_Coronavirus_Landscape_nCoV_11April2020.PDF?ua=1,yes,yes,VLP-recombinant protein + adjuvant
PDS Biotechnology,USA,PDS0203,Protein subunit,Pre-clinical,No,16/04/2020,https://www.globenewswire.com/news-release/2020/04/16/2017301/0/en/PDS-Biotechnology-Initiates-Novel-Vaccine-Development-Programs-For-COVID-19-and-Universal-Influenza-Delay-of-PDS0101-VERSATILE-002-trial.html,no,yes,Versamune T-cell activating technology with Sars-CoV-2 antigens
Quadram Institute Biosciences,UK,OMV-based vaccine,Protein subunit,Pre-clinical,No,07/05/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Bacterial extracellular vesicle (BEV)-based mucosal vaccine. 
Razi Vaccine and Serum/Research Institute,Iran,Razi Cov Pars,Protein subunit,Phase I,No,18/01/2021,https://www.tehrantimes.com/news/457063/Second-Iranian-made-coronavirus-vaccine-receives-clinical-trial,no,yes,Recombinant Spike protein
Research Institute for/Biological Safety Problems (subunit),Republic of Kazakhstan,Protein subunit vaccine,Protein subunit,Pre-clinical,No,31/07/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
Sanofi Pasteur/GSK,France/UK,VAT00002,Protein subunit,Phase III,No,20/03/2020,https://www.who.int/blueprint/priority-diseases/key-action/Novel_Coronavirus_Landscape_nCoV_Mar26.PDF,yes,yes,S protein (baculovirus production)
Shionogi,Japan,S-268019,Protein subunit,Phase I/II,No,01/12/2020,https://www.who.int/publications/m/item/draft-landscape-of-covid-19-candidate-vaccines,yes,no,Recombinant protein vaccine using Baculovirus expression vector system
SK Biosciences,Republic of Korea,NBP2001,Protein subunit,Phase I,No,24/11/2020,https://www.koreabiomed.com/news/articleView.html?idxno=9722,no,no,Recombinant subunit vaccine targeting RBD
SK Biosciences,Republic of Korea,GBP510,Protein subunit,Phase I/II,No,23/03/2020,http://www.koreabiomed.com/news/articleView.html?idxno=7798,no,yes,NA
Soligenix Inc/University of Hawaiʻi at Mānoa,USA,CiVax,Protein subunit,Pre-clinical,No,28/07/2020,https://www.prnewswire.com/news-releases/soligenix-announces-publication-of-positive-pre-clinical-results-for-a-novel-covid-19-vaccine-301100798.html,no,no,Heat-stable subunit vaccine with CoVaccine adjuvant
Sorbonne University,France,Protein subunit vaccine,Protein subunit,Pre-clinical,No,16/12/2020,https://www.who.int/publications/m/item/draft-landscape-of-covid-19-candidate-vaccines,yes,no,NA
Sorrento Therapeutics,USA,T-VIVA-19,Protein subunit,Pre-clinical,No,17/08/2020,https://sorrentotherapeutics.com/research/covid-19/t-viva-19/,no,yes,Recombinant fusion protein of the SARS-CoV-2 spike protein S1 domain and human IgG Fc (T-VIVA-19)
St Petersburg Scientific Research Institute/of Vaccines and Sera,Russia,Protein subunit vaccine,Protein subunit,Pre-clinical,No,11/04/2020,https://www.who.int/blueprint/priority-diseases/key-action/Novel_Coronavirus_Landscape_nCoV_11April2020.PDF?ua=1,yes,yes,"Recombinant protein, nanoparticles (based on S-protein and other epitopes)"
Tampere University (subunit),Finland,Protein subunit vaccine,Protein subunit,Pre-clinical,No,29/10/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,no,Recombinant S protein produced in BEVS
University Hospital Tübingen,Germany,CoVac-1,Protein subunit,Phase I,No,01/09/2020,https://www.who.int/publications/m/item/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,SARS-CoV-2 HLA-DR peptides
University of Alberta,Canada,Protein subunit vaccine,Protein subunit,Pre-clinical,No,05/05/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Spike based
"University of California, San Diego",USA,Protein subunit vaccine,Protein subunit,Pre-clinical,No,20/04/2020,https://ucsdnews.ucsd.edu/pressrelease/marrying-molecular-farming-and-advanced-manufacturing-to-develop-a-covid-19-vaccine,no,yes,Protein subunit; plant virus nanotechnology formulated as injectable and microneedle patch
University of Pittsburgh,USA,PittCoVacc,Protein subunit,Pre-clinical,No,02/04/2020,https://www.upmc.com/media/news/040220-falo-gambotto-sars-cov2-vaccine,yes,yes,Microneedle arrays S1 subunit
University of Queensland/CSL/Seqirus,Australia/UK/USA,Molecular clamp vaccine,Protein subunit,Terminated,No,24/01/2020,https://www.uq.edu.au/news/article/2020/01/race-develop-coronavirus-vaccine,yes,yes,"Molecular clamp stabilized spike protein, CSL MF59 adjuvant"
University of San Martin/CONICET,Argentina,Protein subunit vaccine,Protein subunit,Pre-clinical,No,12/06/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
University of Virginia,USA,Protein subunit vaccine,Protein subunit,Pre-clinical,No,01/07/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,S subunit intranasal liposomal formulation with GLA/3M052 adjuvants
Vabiotech,Vietnam,IC-BEVS,Protein subunit,Pre-clinical,No,05/05/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,"Protein subunit, recombinant S protein in IC-BEVS  "
Vaxil Bio,Israel,Protein subunit vaccine,Protein subunit,Pre-clinical,No,13/02/2020,https://pipelinereview.com/index.php/2020021673805/Vaccines/Vaxil-Announces-the-Identification-of-a-Potential-Corona-Virus-Vaccine-and-Provides-an-Update-in-the-Previously-Announced-Debt-Financing.html,yes,yes,NA
Vaxinano/CEA/INRAE,France,Protein subunit vaccine,Protein subunit,Pre-clinical,No,16/04/2020,http://www.vaxinano.com/news-32.html,yes,no,NA
Vaxine Pty/Medytox,Australia,COVAX-19,Protein subunit,Phase I,No,03/04/2020,https://news.flinders.edu.au/blog/2020/04/03/flinders-targets-covid-19-vaccine/,yes,yes,Recombinant spike protein with Advax™ adjuvant
Vector Institute (peptide),Russia,EpiVacCorona,Protein subunit,Phase III,Yes,05/05/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Peptide vaccine
Vector Institute (subunit),Russia,Protein subunit vaccine,Protein subunit,Pre-clinical,No,05/05/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Subunit vaccine
Versatope/Umass (subunit),USA,Protein subunit vaccine,Protein subunit,Pre-clinical,No,30/03/2020,https://www.uml.edu/News/stories/2020/M2D2-coronavirus-efforts.aspx?mc_cid=b01e8bd49c&mc_eid=565cb5181a,no,no,Polypeptide-based
"VIDO-InterVac,/University of Saskatchewan",Canada,COVAC,Protein subunit,Phase I/II,No,20/03/2020,https://www.who.int/blueprint/priority-diseases/key-action/novel-coronavirus-landscape-ncov.pdf?ua=1,yes,yes,NA
Walter Reed Army Institute of Research,USA,SpFN,Protein subunit,Phase I,No,16/10/2020,https://www.army.mil/article/240023/wrair_announces_covid_19_vaccine_candidate_targets_clinical_trial_date,yes,yes,Spike ferritin nanoparticle with a liposomal formulation QS21 (ALFQ) adjuvant
Walter Reed Army Institute of Research/USAMRIID,USA,Protein subunit vaccine,Protein subunit,Pre-clinical,No,05/03/2020,https://www.defense.gov/Newsroom/Transcripts/Transcript/Article/2104736/defense-department-press-briefing-investigating-and-developing-vaccine-candidat/,yes,yes,S protein
"West China Hospital,/Sichuan University",China,Protein subunit vaccine,Protein subunit,Phase II,No,28/08/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,RBD (baculovirus production expressed in Sf9 cells)
Yildiz Technical University,Turkey,Protein subunit vaccine,Protein subunit,Pre-clinical,No,19/02/2021,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,no,Adjuvanted peptides + recombinant S
Yisheng Biopharma,China,Protein subunit vaccine,Protein subunit,Pre-clinical,No,05/05/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
Arcturus/Duke-NUS,USA/Singapore,LUNAR-COV19/ARCT-021,RNA,Phase II,No,04/03/2020,https://ir.arcturusrx.com/news-releases/news-release-details/arcturus-therapeutics-and-duke-nus-medical-school-partner,yes,yes,NA
BIOCAD,Russia,RNA vaccine,RNA,Pre-clinical,No,19/03/2020,https://biocadglobal.com/index.php?posts&post=45,yes,yes,NA
BioNTech/Pfizer/Fosun Pharma,Germany/USA,BNT162,RNA,Phase IV,Yes,17/03/2020,https://www.businesswire.com/news/home/20200316005943/en/,yes,yes,NA
Cansino Biologics/Precision Nanosystems,China/Canada,RNA vaccine,RNA,Pre-clinical,No,20/05/2020,https://www.precisionnanosystems.com/our-company/news-room/detail/cansino-biologics-and-precision-nanosystems-announce-collaboration-to-co-develop-a-covid-19-rna-vaccine,yes,yes,LNP-mRNA
CEA,France,RNA vaccine,RNA,Pre-clinical,No,16/12/2020,https://www.who.int/publications/m/item/draft-landscape-of-covid-19-candidate-vaccines,yes,no,Encapsulated mRNA
Cell Tech Pharmed (RNA),Iran,mRNA vaccine,RNA,Pre-clinical,No,12/11/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,no,NA
Centro Nacional Biotecnología (CNB-CSIC)/(RNA),Spain,RNA vaccine,RNA,Pre-clinical,No,26/03/2020,https://fems-microbiology.org/wp-content/uploads/2020/03/Enjuanes-Sola-Zúñiga-2020.-Novel-Human-Pathogenic-Coronavirus-SARS-CoV-2.pdf,yes,yes,Replicating defective SARS-CoV-2 derived RNAs
Chimeron Bio/George Mason University ,USA,RNA vaccine,RNA,Pre-clinical,No,28/05/2020,https://www.businesswire.com/news/home/20200528005481/en/Chimeron-Bio-George-Mason-University%E2%80%99s-National-Center,no,yes,NA
China CDC/Tongji University/Stermina Therapeutics,China,RNA vaccine,RNA,Pre-clinical,No,17/03/2020,https://news.cgtn.com/news/2020-03-17/Shanghai-announces-steady-progress-in-COVID-19-vaccine-development--OVydZfNUFG/index.html,yes,yes,NA
Chula Vaccine Research Center/University of Pennsylvania,Thailand/USA,ChulaCov19,RNA,Phase I/II,No,01/06/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,LNP-mRNA 
CureVac,Germany/USA,CVnCoV,RNA,Phase III,No,03/03/2020,https://www.curevac.com/news/curevac-ceo-daniel-menichella-berät-mit-us-präsident-donald-trump-und-mitgliedern-der-corona-task-force-entwicklungsmöglichkeiten-eines-coronavirus-impfstoffes,yes,yes,NA
Elixirgen Therapeutics/Fujita Health University,USA,EXG-5003,RNA,Pre-clinical,No,04/06/2020,https://elixirgentherapeutics.com/news/fda/elixirgen-therapeutics-concludes-pre-ind-meeting-with-fda-for-its-covid-19-vaccine-candidate-exg-5003,no,yes,NA
Emergex Vaccines/George Mason University,UK/USA,RNA vaccine,RNA,Pre-clinical,No,22/04/2020,https://emergexvaccines.com/emergex-signs-agreement-with-george-mason-university-for-highly-pathogenic-rna-virus-studies/,no,yes,NA
eTheRNA Immunotherapies,Belgium,mRNA TriMix vaccine,RNA,Pre-clinical,No,24/03/2020,https://www.thepharmaletter.com/article/etherna-launches-consortium-and-starts-development-of-cov-2-mrna-vaccine,yes,yes,Intranasal
Fudan University/Shanghai JiaoTong University/RNACure Biopharma (VLP),China/USA,RNA vaccine (encoding VLP),RNA,Pre-clinical,No,20/03/2020,https://www.who.int/blueprint/priority-diseases/key-action/novel-coronavirus-landscape-ncov.pdf?ua=1,yes,yes,LNP-encapsulated mRNA cocktail encoding VLP
Fudan University/Shanghai JiaoTong University/RNACure Biopharma/(RBD),China/USA,RNA vaccine (encoding RBD),RNA,Pre-clinical,No,20/03/2020,https://www.who.int/blueprint/priority-diseases/key-action/novel-coronavirus-landscape-ncov.pdf?ua=1,yes,yes,LNP-encapsulated mRNA encoding RBD
GeneOne Life Science/Houston Methodist,Republic of Korea/USA,GLS-3000,RNA,Pre-clinical,No,17/03/2020,https://www.houstonmethodist.org/research/covid19/geneone/,no,yes,NA
Gennova,India,Self-amplifying RNA vaccine,RNA,Pre-clinical,No,15/07/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
Globe Biotech Ltd (RNA),Bangladesh,mRNA vaccine,RNA,Pre-clinical,No,29/10/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,D614G variant LNP-encapsulated mRNA
Greenlight Biosciences,USA,RNA vaccine,RNA,Pre-clinical,No,05/05/2020,https://www.greenlightbiosciences.com/covid19/,yes,yes,NA
GSK,UK,CoV-2 SAM LNP,RNA,Phase I,No,20/07/2020,https://www.gsk.com/en-gb/media/press-releases/gsk-and-curevac-announce-strategic-mrna-technology-collaboration/,no,no,Self-amplifying mRNA (SAM) lipid nanoparticle platform targeting S
IDIBAPS-Hospital Clinic (RNA),Spain,mRNA vaccine,RNA,Pre-clinical,No,01/06/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
Imperial College London,UK,LNP-nCoVsaRNA,RNA,Terminated,No,15/01/2020,https://www.imperial.ac.uk/news/196313/in-pictures-imperial-developing-covid-19-vaccine/,yes,yes,NA
Infectious Disease Research Institute/Amyris Inc,USA,saRNA vaccine,RNA,Pre-clinical,No,27/07/2020,https://investors.amyris.com/2020-07-27-Amyris-and-The-Infectious-Disease-Research-Institute-Partner-to-Advance-Novel-RNA-Vaccine-Platform-Beginning-With-COVID-19-Application,yes,no,saRNA formulated in a NLC
Max Planck Institute of/Colloids and Interfaces (RNA),Germany,RNA vaccine,RNA,Pre-clinical,No,13/05/2020,https://www.mpg.de/14807464/0511-mpin-116799-corona-vaccination-via-the-skin,no,yes,S mRNA plus targeting ligand for Langerhans cells
Medigen Vaccine Biologics Corporation/Vaxess Technologies,Taiwan/USA,RNA vaccine,RNA,Pre-clinical,No,29/01/2021,https://www.who.int/publications/m/item/draft-landscape-of-covid-19-candidate-vaccines,yes,no,"Recombinant, pre-fusion stabilised S antigens"
Moderna/NIAID,USA,mRNA-1273,RNA,Phase IV,Yes,13/01/2020,https://www.modernatx.com/modernas-work-potential-vaccine-against-covid-19,yes,yes,LNP-encapsulated mRNA
Moderna/NIAID (B.1.351),USA,mRNA-1273.351,RNA,Phase I,No,24/02/2021,https://investors.modernatx.com/news-releases/news-release-details/moderna-announces-it-has-shipped-variant-specific-vaccine,yes,yes,LNP-encapsulated mRNA targeting variant B.1.351
Providence Therapeutics,USA,PTX-COVID19-B,RNA,Phase I,No,12/11/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,no,NA
ReNAP Co.,Unknown,mRNA vaccine,RNA,Pre-clinical,No,12/11/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,no,NA
RNAimmune Inc,USA,RNA vaccine,RNA,Pre-clinical,No,05/05/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
Rochester Clinical Research,USA,RNA vaccine,RNA,Pre-clinical,No,05/05/2020,https://www.rcrclinical.com/clinical-trial/coronavirus-vaccine-interest-list/,no,no,NA
Selcuk University (RNA),Turkey,mRNA vaccine,RNA,Pre-clinical,No,01/07/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
Shulan (Hangzhou) Hospital/Guangxi Zhuang Autonomous Region CDC/PLA Academy of Military Sciences/Walvax Biotech,China,ARCoV,RNA,Phase I,No,17/04/2020,https://www.biocentury.com/article/304515,yes,yes,NA
Translate Bio/Sanofi Pasteur,France/USA,LNP-mRNA vaccine,RNA,Pre-clinical,No,27/03/2020,https://investors.translate.bio/news-releases/news-release-details/sanofi-pasteur-and-translate-bio-collaborate-develop-novel-mrna,yes,yes,NA
University of Tokyo/Daiichi-Sankyo,Japan,LNP-encapsulated mRNA vaccine,RNA,Pre-clinical,No,11/04/2020,https://www.who.int/blueprint/priority-diseases/key-action/Novel_Coronavirus_Landscape_nCoV_11April2020.PDF?ua=1,yes,yes,NA
University of Washington/NIH/HDT Bio Corp,USA,HDT-301,RNA,Pre-clinical,No,13/02/2020,https://newsroom.uw.edu/news/covid-19-vaccine-has-robust-response-nonhuman-primates,no,no,NA
Vector Institute (RNA),Russia,RNA vaccine,RNA,Pre-clinical,No,05/05/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
Ziphius Therapeutics/Ghent University,Belgium,ZIP-1642,RNA,Pre-clinical,No,20/03/2020,https://7dffaa19-682b-4760-bc5a-592e63dfdd3b.filesusr.com/ugd/bc1b8f_b6bf5b2e693b4a14aaa51084089eb95c.pdf,no,yes,mRNA encoding multiple SARS-CoV-2 antigens
AbVision,USA,AVI-205,Unknown,Pre-clinical,No,03/05/2020,http://abvisioninc.com/2020/05/03/abvision-announced-a-first-in-class-active-targeting-vaccine-candidate-for-covid-19/,no,yes,NA
Adeleke University,Nigeria ,Unnamed vaccine,Unknown,Pre-clinical,No,01/07/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,no,yes,NA
Boryung Biopharma,Republic of Korea,Unnamed vaccine,Unknown,Pre-clinical,No,09/03/2020,http://www.koreabiomed.com/news/articleView.html?idxno=7650,no,no,NA
"Catholic University,/Millennium Institute of Immunology &/Immunotherapy",Chile,Unnamed vaccine,Unknown,Pre-clinical,No,13/03/2020,https://translate.google.com/translate?hl=en&sl=es&tl=en&u=http%3A%2F%2Fwww.imii.cl%2Fcientificos-chilenos-trabajan-desarrollo-vacuna-coronavirus-preparacion-la-pandemia%2F,no,yes,NA
Changchun Zhuoyi Biological,China,Unnamed vaccine,Unknown,Pre-clinical,No,17/04/2020,https://www.biocentury.com/article/304515,no,no,NA
Chongqing Zhifei Biological Products/Chinese Academy of Sciences,China,Unnamed vaccine,Unknown,Pre-clinical,No,17/04/2020,https://www.biocentury.com/article/304515,no,no,NA
