Institutes,Country,Name,Platform,Phase,In use,Date started,Reference,Listed by WHO,Listed by Milken,Other
Codiak BioSciences/Ragon Institute,USA,Unnamed vaccine,Unknown,Pre-clinical,No,01/06/2020,https://www.businesswire.com/news/home/20200601005079/en/Codiak-BioSciences-Collaborates-Ragon-Institute-Evaluate-exoVACC%E2%84%A2,no,yes,exoVACC exome platform
Hualan Biological Engineering,China,Unnamed vaccine,Unknown,Pre-clinical,No,17/04/2020,https://www.biocentury.com/article/304515,no,no,NA
ISR Immune System Regulation,Sweden,ISR-50,Unknown,Pre-clinical,No,19/03/2020,http://israb.se/pressdetalj/?id=http://publish.ne.cision.com/v2.0/Release/GetDetail/6C15E245715A57C0,no,yes,NA
Nidovax,USA,Unnamed vaccine,Unknown,Pre-clinical,No,28/06/2020,https://www.nidovax.com/,no,yes,IMT504 technology
Oragenics,USA,TerraCoV2,Unknown,Pre-clinical,No,04/05/2020,https://www.oragenics.com/news-media/press-releases/detail/104/oragenics-acquires-noachis-terra-inc-to-develop-its,no,yes,NA
"Precision Vaccines Program,/Boston Children's Hospital",USA,Unnamed vaccine,Unknown,Pre-clinical,No,11/03/2020,https://hms.harvard.edu/news/designing-coronavirus-vaccine,no,yes,NA
Royal (Wuxi) Biopharmaceutical ,China,Unnamed vaccine,Unknown,Pre-clinical,No,17/04/2020,https://www.biocentury.com/article/304515,no,no,NA
Shandong Buchang Pharma,China,Unnamed vaccine,Unknown,Pre-clinical,No,12/02/2020,https://fr.reuters.com/article/idUSP8N2A605E,no,no,NA
SmartPharm Therapeutics Inc/Sorrento Therapeutics,USA,Gene-encoded antibody vaccine,Unknown,Pre-clinical,No,23/03/2020,https://smartpharmtx.com/archives/7805,no,yes,NA
Tulane University,USA,Unnamed vaccine,Unknown,Pre-clinical,No,19/02/2020,https://news.tulane.edu/pr/tulane-university-launches-new-coronavirus-research-program-develop-vaccine-and-advanced,no,yes,NA
United Biomedical/c19,Taiwan/USA,Unnamed vaccine,Unknown,Pre-clinical,No,19/03/2020,http://www.unitedbiomedical.com/COVID-19/covid-19.html,no,yes,NA
Vault Pharma/University of California Los Angeles,USA,Unnamed vaccine,Unknown,Pre-clinical,No,01/06/2020,https://www.businesswire.com/news/home/20200601005170/en/Coronavirus-Vaccine-Development-Underway-Vault-Pharma,no,yes,Nanoparticles (vaults) as second-line defense of infection
Verndari Inc/UC Davis,USA,Unnamed vaccine,Unknown,Pre-clinical,No,29/04/2020,https://www.verndariinc.com/news/4,no,yes,VaxiPatch single-dose dermal patch with a metal microneedle array
Vir Biotechnology/GSK,USA/UK,Unnamed vaccine,Unknown,Pre-clinical,No,06/04/2020,https://investors.vir.bio/news-releases/news-release-details/gsk-and-vir-biotechnology-enter-collaboration-find-coronavirus,no,yes,NA
Vivaldi Biosciences/Esco Aster,USA/Singapore,Unnamed vaccine,Unknown,Pre-clinical,No,14/05/2020,https://www.vivaldibiosciences.com/news-2/e4punpyr485q117deum1k1xrps4wjt,no,yes,Chimeric vaccine (coronavirus and influenza)
ZhongKe Biopharm ,China,Unnamed vaccine,Unknown,Pre-clinical,No,17/04/2020,https://www.biocentury.com/article/304515,no,no,NA
Zhongyi Anke Biotechnology ,China,Unnamed vaccine,Unknown,Pre-clinical,No,17/04/2020,https://www.biocentury.com/article/304515,no,no,NA
AIOVA,Unknown,Non-replicating viral vector vaccine,Vector (non-replicating),Pre-clinical,No,16/12/2020,https://www.who.int/publications/m/item/draft-landscape-of-covid-19-candidate-vaccines,yes,no,Lentivioral vector retro-VLP particles
Altimmune,USA,T-COVID,Vector (non-replicating),Pre-clinical,No,01/06/2020,https://www.globenewswire.com/news-release/2020/06/01/2041361/0/en/Altimmune-Launches-Clinical-Trial-of-T-COVIDTM-an-Investigational-Intranasal-Immune-Modulator-for-the-Treatment-of-Patients-with-Early-COVID-19.html,yes,no,Adenovirus-based NasoVAX
Altimmune/University of Alabama at Birmingham,USA,AdCOVID,Vector (non-replicating),Phase I,No,28/02/2020,https://www.globenewswire.com/news-release/2020/02/28/1992600/0/en/Altimmune-Completes-First-Development-Milestone-Toward-a-Single-Dose-Intranasal-COVID-19-Vaccine.html,no,yes,Adenovirus-based NasoVAX expressing SARS2-CoV spike protein
Ankara University,Turkey,Non-replicating viral vector vaccine,Vector (non-replicating),Pre-clinical,No,01/07/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Adenovirus-based
Bharat Biotech,India,BBV154,Vector (non-replicating),Phase I,No,01/10/2020,https://www.bharatbiotech.com/intranasal-vaccine.html,no,no,Intranasal Chad-vectored vaccine
Bharat Biotech/Thomas Jefferson University,USA/India,CORAVAX,Vector (non-replicating),Pre-clinical,No,07/04/2020,https://www.beckershospitalreview.com/infection-control/thomas-jefferson-university-researchers-develop-covid-19-vaccine-candidate.html,yes,yes,Killed rabies carrier vaccine
CanSino Biological Inc/Beijing Institute of Biotechnology,China,Ad5-nCoV,Vector (non-replicating),Phase III,Yes,20/01/2020,https://www.bioworld.com/articles/433791-china-approves-first-homegrown-covid-19-vaccine-to-enter-clinical-trials,yes,yes,NA
CanSino Biological Inc/PLA Academy of Military Sciences,China,Ad5-nCoV,Vector (non-replicating),Phase I,No,28/09/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Ad5 viral vector
Centro Nacional Biotecnología (CNB-CSIC)/(vector),Spain,Non-replicating viral vector vaccine,Vector (non-replicating),Pre-clinical,No,26/03/2020,https://fems-microbiology.org/wp-content/uploads/2020/03/Enjuanes-Sola-Zúñiga-2020.-Novel-Human-Pathogenic-Coronavirus-SARS-CoV-2.pdf,yes,yes,MVA expressing structural proteins
Erciyes University (vector),Turkey,Non-replicating viral vector vaccine,Vector (non-replicating),Pre-clinical,No,23/07/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Adeno5 based
Gamaleya Research Institute,Russia,Gam-COVID-Vac/Sputnik V,Vector (non-replicating),Phase III,Yes,01/06/2020,https://www.who.int/publications/m/item/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,"rAd26/rAd5 expressing S protein, intramuscular, separate trial of lyophilised formulation"
GeoVax,China,MVA-VLP vaccine,Vector (non-replicating),Pre-clinical,No,27/01/2020,https://www.geovax.com/news/geovax-and-bravovax-wuhan-china-to-collaborate-on-development-of-coronavirus-vaccine,yes,yes,MVA-encoded VLP; formerly listed as GeoVax/BravoVax but collaboration did not proceed
German Center for Infection Research (DZIF)/IDT Biologika GmbH/Ludwig Maximilian University of Munich,Germany,MVA-SARS-2-S,Vector (non-replicating),Phase I,No,27/03/2020,https://www.en.uni-muenchen.de/news/newsarchiv/2020/sutter_impfstoffe_en.html,yes,no,Modified Caccinia virus Ankara vaccine
Globe Biotech Ltd (viral vector),Bangladesh,Non-replicating viral vector vaccine,Vector (non-replicating),Pre-clinical,No,29/10/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Ad5 vector
Greffex,USA,Ad5 S (GREVAX),Vector (non-replicating),Pre-clinical,No,11/03/2020,https://www.greffex.com/news/greffex-inc-completes-covid-19-vaccine-and-prepares-for-testing/,yes,yes,Ad5 S (GREVAX platform)
Gritstone Oncology,USA,ChAdV68-S/SAM-LNP-S,Vector (non-replicating),Phase I,No,20/01/2021,https://ir.gritstoneoncology.com/news-releases/news-release-details/gritstone-and-genevant-sciences-announce-license-agreement-covid,yes,no,ChAd68 and self-amplifying mRNA (SAM) vectors expressing spike alone or spike plus additional T cell epitopes
Icahn School of Medicine at Mount Sinai (vector #1),USA,Non-replicating viral vector vaccine,Vector (non-replicating),Pre-clinical,No,01/09/2020,https://www.who.int/publications/m/item/draft-landscape-of-covid-19-candidate-vaccines,yes,no,Newcastle disease virus expressing S
Icahn School of Medicine at Mount Sinai (vector #2),USA,Non-replicating viral vector vaccine,Vector (non-replicating),Pre-clinical,No,01/02/2021,https://www.who.int/publications/m/item/draft-landscape-of-covid-19-candidate-vaccines,yes,no,Newcastle disease virus expressing membrane-anchored spike
ID Pharma,Japan,Non-replicating viral vector vaccine,Vector (non-replicating),Pre-clinical,No,01/07/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Sendai virus vector
IDIBAPS-Hospital Clinic (viral vector),Spain,MVA-S vaccine,Vector (non-replicating),Pre-clinical,No,01/06/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
ImmunityBio Inc/NantKwest Inc,USA,hAd5-S-Fusion+N-ETSD,Vector (non-replicating),Phase I,No,14/04/2020,https://www.biospace.com/article/releases/nantkwest-and-immunitybio-announce-therapeutics-and-vaccines-for-combatting-covid-19-clinical-trials-anticipated-to-begin-this-quarter/,yes,yes,Four deletions enabling response in Ad-exposed
Institut Pasteur/TheraVectys,France,Non-replicating viral vector vaccine,Vector (non-replicating),Pre-clinical,No,01/02/2020,http://www.theravectys.com/development-pipeline/,yes,yes,Intranasal lentiviral vector vaccine
Janssen Pharmaceutical Companies,USA,Ad26.COV2.S,Vector (non-replicating),Phase III,Yes,27/01/2020,https://www.cnbc.com/2020/01/27/jj-pretty-confident-it-can-create-china-coronavirus-vaccine.html,yes,yes,Ad26 (alone or with MVA boost)
Massachusetts Eye and Ear/Massachusetts General Hospital/AveXis,USA,AAVCOVID,Vector (non-replicating),Pre-clinical,No,05/05/2020,https://masseyeandear.org/news/press-releases/2020/05/mee-and-mgh-advancing-aavcovid-vaccine,yes,yes,"adeno-associated viral (AAV)-based, S protein"
McMaster University,Canada,Non-replicating viral vector vaccine,Vector (non-replicating),Pre-clinical,No,26/05/2020,Direct contact,no,no,Multi-valent HuAd5 and ChAd68-vectored; aerosol delivery
National Center for Genetic Engineering &/Biotechnology (BIOTEC)/GPO,Thailand,Non-replicating viral vector vaccine,Vector (non-replicating),Pre-clinical,No,01/06/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Inactivated Flu-based SARS-CoV2 vaccine + Adjuvant
"National Research Centre, Egypt (vector)",Egypt,Non-replicating viral vector vaccine,Vector (non-replicating),Pre-clinical,No,30/06/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Influenza A H1N1 vector 
ReiThera/Leukocare/Univercells,Italy,GRAd-COV2,Vector (non-replicating),Phase II/III,No,26/03/2020,https://www.who.int/blueprint/priority-diseases/key-action/Novel_Coronavirus_Landscape_nCoV_Mar26.PDF,yes,yes,Replication defective simian adenovirus (GRAd) encoding SARS-CoV-2 S
Stabilitech Biophaarma Ltd,UK,OraPro-COVID-19,Vector (non-replicating),Pre-clinical,No,19/03/2020,https://www.stabilitech.com/orapro-covid-19/,yes,yes,Orally administered recombinant adenovirus vector
Tsinghua University,China,Adenovirus-vectored vaccine,Vector (non-replicating),Pre-clinical,No,02/04/2020,http://www.china.org.cn/china/2020-04/02/content_75891534.htm,no,no,Adenovirus vector-based vaccine (could not verify if replicating/non-replicating)
University of Georgia/University of Iowa,USA,Non-replicating viral vector vaccine,Vector (non-replicating),Pre-clinical,No,05/05/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Parainfluenza virus 5-based vaccine expressing S protein
University of Helsinki/University of Eastern Finland,Finland,Non-replicating viral vector vaccine,Vector (non-replicating),Pre-clinical,No,29/10/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,no,Ad5 vector intranasal 
University of Oxford/AstraZeneca,UK,ChAdOx1-S,Vector (non-replicating),Phase IV,Yes,10/01/2020,https://www.ovg.ox.ac.uk/news/covid-19-vaccine-development,yes,yes,Chimpanzee adenovirus vector
University of South Australia/Sementis Ltd,Australia,SCV-S,Vector (non-replicating),Pre-clinical,No,01/05/2020,https://sementis.com.au,no,no,Spike antigen; Sementis Copenhagen Vector platform
Valo Therapeutics Ltd,Finland/USA,Pan-Corona,Vector (non-replicating),Pre-clinical,No,05/05/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Adenovirus-based + HLA-matched peptides
Vaxart,USA,VXA-CoV2-1,Vector (non-replicating),Phase I,No,18/03/2020,http://www.globenewswire.com/news-release/2020/03/18/2002458/0/en/EMERGENT-BIOSOLUTIONS-SIGNS-DEVELOPMENT-AND-MANUFACTURING-AGREEMENT-WITH-VAXART-FOR-THEIR-EXPERIMENTAL-ORAL-VACCINE-CANDIDATE-FOR-CORONAVIRUS-DISEASE.html,yes,yes,NA
Vaxinz Inc/Institute Leloir Foundation/CONICET/(vector #1),Argentina/USA,VXZ-11NS,Vector (non-replicating),Pre-clinical,No,01/08/2020,http://vaxinz.com,no,no,Direct contact; human adenoviral vector
Vaxinz Inc/Institute Leloir Foundation/CONICET/(vector #2),Argentina/USA,VXZ-11PFS,Vector (non-replicating),Pre-clinical,No,01/08/2020,http://vaxinz.com,no,no,Direct contact; human adenoviral vector
Aurobindo,India,Replicating viral vector vaccine,Vector (replicating),Pre-clinical,No,15/07/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,VSV-S
BIOCAD/IEM,Russia,Replicating viral vector vaccine,Vector (replicating),Pre-clinical,No,11/04/2020,https://www.who.int/blueprint/priority-diseases/key-action/Novel_Coronavirus_Landscape_nCoV_11April2020.PDF?ua=1,yes,yes,Live viral vectored vaccine based on attenuated influenza virus backbone (intranasal)
Cellid Co Ltd/IAVI,Republic of Korea,AdCLD-CoV19,Vector (replicating),Phase I/II,No,05/01/2021,https://www.eurekalert.org/pub_releases/2021-01/ivi-cie010421.php,yes,yes,
City of Hope,USA,COH04S1,Vector (replicating),Phase I,No,24/03/2020,https://www.cityofhope.org/breakthroughs/city-of-hope-researchers-developing-covid-19-vaccine,no,no,Synthetic MVA-based vaccine
Farmacológicos Veterinarios SAC/Universidad Peruana Cayetano Heredia/(viral vector #1),Peru,rNDV-LS1-HN-RBD,Vector (replicating),Pre-clinical,No,12/11/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Intranasal Newcastle disease virus vector (rNDV-FARVET) expressing RBD
Farmacológicos Veterinarios SAC/Universidad Peruana Cayetano Heredia/(viral vector #2),Peru,rNDV-LS1-S1-F,Vector (replicating),Pre-clinical,No,15/01/2021,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,no,Intranasal Newcastle disease virus vector (rNDV-FARVET) expressing S1
Fundação Oswaldo Cruz (FIOCRUZ)/Instituto Buntantan,Brazil,Replicating viral vector vaccine,Vector (replicating),Pre-clinical,No,01/05/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Attenuated Influenza expressing an antigenic portion of the Spike protein
German Center for Infection Research (DZIF)/CanVirex AG,Germany,Replicating viral vector vaccine,Vector (replicating),Pre-clinical,No,26/03/2020,https://www.who.int/blueprint/priority-diseases/key-action/Novel_Coronavirus_Landscape_nCoV_Mar26.PDF,yes,yes,"Measles virus (S, N targets)"
IAVI/Merck,USA,V590,Vector (replicating),Terminated,No,05/03/2020,https://www.iavi.org/newsroom/press-releases/2020/iavi-and-batavia-announce-collaboration-vsv-vector-epidemic-preparedness-vaccines,yes,yes,Replication-competent VSV chimeric virus technology (VSVdeltaG) expressing Spike (S) glycoprotein
Institut Pasteur/Themis/University of Pittsburg/Merck,France/USA/Austria,V591/TMV-083,Vector (replicating),Terminated,No,19/03/2020,https://www.themisbio.com/cepi-collaborates-with-the-institut-pasteur-in-a-consortium-to-develop-covid-19-vaccine/,yes,yes,Measles Vector
Intravacc/Wageningen Bioveterinary Research/Utrecht University,Netherlands/Germany,NDV-SARS-CoV-2/Spike ,Vector (replicating),Pre-clinical,No,14/05/2020,https://www.intravacc.nl/,yes,yes,NA
Israel Institute for Biological Research/Weizmann Institute of Science,Israel,rVSV-SARS-CoV-2-S,Vector (replicating),Phase I/II,No,28/06/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,VSV-S
KU Leuven,Belgium,YF17D vector vaccine,Vector (replicating),Pre-clinical,No,27/01/2020,https://www.brusselstimes.com/all-news/belgium-all-news/92085/ku-leuven-researchers-near-test-phase-for-coronavirus-vaccine-wuhan-china-infection-virus-france/,yes,yes,Yellow fever vaccine backbone with SARS-CoV-2 spike protein
Lancaster University,UK,APM vector vaccine,Vector (replicating),Pre-clinical,No,15/05/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Avian paramyxovirus vector (APMV) 
Sumagen/International Vaccine Institute,Republic of Korea,VSV vector vaccine,Vector (replicating),Pre-clinical,No,06/03/2020,https://pulsenews.co.kr/view.php?year=2020&no=237416,no,no,VSV vector
Tonix Pharma/Southern Research,USA,Horsepox vector vaccine,Vector (replicating),Pre-clinical,No,24/03/2020,https://ir.tonixpharma.com/press-releases/detail/1195/tonix-pharmaceuticals-reports-fourth-quarter-and-full-year,yes,yes,Horsepox vector expressing S protein
University of Hong Kong/Jiangsu Provincial CDC/Beijing Wantai Biological Pharmacy/Xiamen University,China,DelNS1-2019-nCoV-RBD-OPT1,Vector (replicating),Phase II,No,09/09/2020,https://www.who.int/publications/m/item/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Intranasal flu-based-RBD
University of Manitoba (vector),Canada,Dendritic cell-targeting viral vector vaccine,Vector (replicating),Pre-clinical,No,05/05/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
University of Western Ontario,Canada,VSV-S,Vector (replicating),Pre-clinical,No,05/05/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Replicating viral vector; VSV-S
UW-Madison/FluGen/Bharat Biotech,USA/India,CoroFlu,Vector (replicating),Pre-clinical,No,02/04/2020,https://www.pharmaceutical-technology.com/news/flugen-bharat-bio-uw-madison-covid-vaccine/,yes,yes,M2SR platform; self-limiting replication; intranasal
Vector Institute (vector #1),Russia,Replicating viral vector vaccine,Vector (replicating),Pre-clinical,No,05/05/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Measles Vector
Vector Institute (vector #2),Russia,Replicating viral vector vaccine,Vector (replicating),Pre-clinical,No,05/05/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,"Recombinant vaccine based on Influenza A virus, intranasal vaccine"
Vector Institute (vector #3),Russia,Replicating viral vector vaccine,Vector (replicating),Pre-clinical,No,05/05/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Replicating viral vector; VSV vector
Zydus Cadila Healthcare Limited (vector),India,Replicating viral vector vaccine,Vector (replicating),Pre-clinical,No,20/03/2020,https://www.who.int/blueprint/priority-diseases/key-action/novel-coronavirus-landscape-ncov.pdf?ua=1,yes,yes,Measles vector
Arizona State University (VLP #1),USA,VLP vaccine,Virus-like particle,Pre-clinical,No,12/02/2021,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,"Myxoma virus co-expressing S, M, N and E proteins"
Arizona State University (VLP #2),USA,VLP vaccine,Virus-like particle,Pre-clinical,No,12/02/2021,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,"Plasmid driven production of VLPs containing S, M, N and E proteins"
ARTES Biotechnology,Germany,VLP vaccine,Virus-like particle,Pre-clinical,No,27/04/2020,http://artes-biotechnology.biz/artes-joins-global-combat-against-corona/,yes,yes,NA
Bezmialem Vakif University,Turkey,VLP vaccine,Virus-like particle,Pre-clinical,No,21/07/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
Doherty Institute,Australia,VLP vaccine,Virus-like particle,Pre-clinical,No,28/01/2020,https://www.doherty.edu.au/our-work/institute-themes/viral-infectious-diseases/emerging-infections/2019-novel-coronavirus/about-2019-novel-coronavirus,yes,yes,NA
Icosavax,USA,VLP vaccine,Virus-like particle,Pre-clinical,No,30/10/2020,https://www.icosavax.com/post/icosavax-launches-covid-19-vaccine-program-with-preclinical-data-and-16-5-million-in-new-funding,no,yes,Displaying SARS-CoV-2 RBD
Imophoron Ltd/Bristol University,UK,ADDomer VLP vaccine,Virus-like particle,Pre-clinical,No,08/03/2020,https://www.pharmaceutical-technology.com/news/bristol-university-imophoron-covid-vaccine/,yes,yes,ADDomer multiepitope display
IrsiCaixa AIDS Research/IRTA-CReSA/Barcelona Supercomputing Centre/Grifols,Spain,VLP vaccine,Virus-like particle,Pre-clinical,No,28/06/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,S protein integrated in HIV VLPs
Mahidol University/GPO,Thailand,VLP vaccine,Virus-like particle,Pre-clinical,No,01/06/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
Max Planck Institute,Germany,VLP vaccine,Virus-like particle,Pre-clinical,No,25/07/2020,https://www.who.int/publications/m/item/draft-landscape-of-covid-19-candidate-vaccines,yes,no,NA
Medicago Inc,Canada/USA/UK,CoVLP,Virus-like particle,Phase II/III,No,12/03/2020,https://www.biospace.com/article/releases/medicago-announces-production-of-a-viable-vaccine-candidate-for-covid-19/,yes,yes,VLP (CoVLP) adjuvanted with GSK or Dynavax adjuvants
Middle East Technical University,Turkey,VLP vaccine,Virus-like particle,Pre-clinical,No,01/07/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
Navarrabiomed Oncoimmunology group,Spain,VLP vaccine,Virus-like particle,Pre-clinical,No,01/06/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Lentivirus and baculovirus vehicles 
OSIVAX,France,VLP vaccine,Virus-like particle,Pre-clinical,No,05/05/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,VLP (COVID-19 and SARS1)
Saiba GmbH,Switzerland,VLP vaccine,Virus-like particle,Pre-clinical,No,11/04/2020,https://www.who.int/blueprint/priority-diseases/key-action/Novel_Coronavirus_Landscape_nCoV_11April2020.PDF?ua=1,yes,yes,RBD displayed on VLPs
Shiraz University,Iran,Plant-based vaccine,Virus-like particle,Pre-clinical,No,12/11/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,no,NA
SpyBiotech/Accelagen Pty/Serum Institute of India,UK/Australia/India,RBD-HBsAg VLP vaccine,Virus-like particle,Phase I/II,No,05/06/2020,https://www.gov.uk/government/news/india-joins-uks-global-vaccine-mission,yes,yes,SpyCatcher/SpyTag display technology
SpyBiotech/University of Oxford/Pirbright Institute,UK,RBD-SpyVLP,Virus-like particle,Pre-clinical,No,07/09/2020,https://www.spybiotech.com/news/covid-19-vaccine-candidate-using-spytagspycatcher-/,no,no,SpyCatcher/SpyTag display technology
Tampere University (VLP),Finland,VLP vaccine,Virus-like particle,Pre-clinical,No,29/10/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,no,VLPs produced in BEVS
University of Manitoba (VLP),Canada,Dendritic cell-targeting VLP vaccine,Virus-like particle,Pre-clinical,No,09/11/2020,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
University of Sao Paulo,Brazil,VLP vaccine,Virus-like particle,Pre-clinical,No,18/03/2020,https://www.efe.com/efe/english/portada/brazil-scientists-using-new-approach-in-search-for-covid-19-vaccine/50000260-4199376,yes,yes,NA
VBI Vaccines/National Research Council of Canada,USA,VBI-2902a,Virus-like particle,Phase I/II,No,31/03/2020,https://www.businesswire.com/news/home/20200331005198/en/VBI-Vaccines-Announces-Collaboration-National-Research-Council,yes,yes,"Enveloped VLP pan-coronavirus vaccine candidate, targeting COVID-19, SARS, and MERS S proteins"